Place,TravelCost,StayCost,SightseeingCost,TotalCost
Kaziranga,5592,1679,3769,11040
Nashik,1587,3272,953,5812
Rishikesh,7595,1747,2651,11993
Dirang,3341,8926,2727,14994
Agra,5542,2347,2906,10795
Delhi,3473,4932,2067,10472
Delhi,1235,11666,1168,14069
Hampi,3405,3714,976,8095
Rishikesh,5114,8421,3958,17493
Gwalior,7234,3559,2014,12807
Shillong,4353,10456,1065,15874
Zemithang,5519,6368,3753,15640
Ratnagiri,4695,4078,4031,12804
Jorhat,8293,6675,3846,18814
Itanagar,4633,7235,4610,16478
Jorhat,6065,10588,1617,18270
Along,9404,4479,518,14401
Alibag,6767,2599,943,10309
Pelling,3409,2516,3205,9130
Lonavala,2186,10795,4634,17615
Haridwar,6606,2245,2099,10950
Kodaikanal,3078,3280,1242,7600
Ratnagiri,4448,11363,2381,18192
Pelling,8282,1782,892,10956
Kalimpong,9462,3479,2070,15011
Majuli,9865,9567,1358,20790
Diu,1182,2303,2407,5892
Aurangabad,8640,4363,3269,16272
Bhubaneswar,1706,4954,2170,8830
Bomdila,5172,3995,2823,11990
Itanagar,7605,6400,3069,17074
Kalimpong,5722,7062,3848,16632
Khajuraho,2410,8895,4439,15744
Kolkata,7130,6437,3753,17320
Darjeeling,3643,1707,4606,9956
Jaisalmer,6341,7108,3205,16654
Siliguri,8506,10133,4496,23135
Ranthambore,7475,7118,3583,18176
Ziro,9890,8328,3491,21709
Rourkela,8821,9975,1440,20236
Lonavala,8428,8094,3374,19896
Hampi,7640,9529,3976,21145
Chitrakoot,5452,10860,2010,18322
Konark,9420,9804,4192,23416
Gangtok,9276,6537,3747,19560
Khajuraho,9118,4842,674,14634
Rishikesh,6145,10771,3326,20242
Nagpur,6408,6215,4450,17073
Patna,5331,2893,1772,9996
Lakshadweep,5710,7811,2309,15830
Pondicherry,3396,6539,4052,13987
Lakshadweep,4464,10597,1918,16979
Khajuraho,5087,7748,4600,17435
Alleppey,8756,4216,2045,15017
Siliguri,5165,7645,1676,14486
Ratnagiri,4540,4287,2238,11065
Amarkantak,1144,3195,2919,7258
Haridwar,6657,10137,4322,21116
Kovalam,7712,9983,3393,21088
Udaipur,1528,1833,1999,5360
Bhubaneswar,7957,2282,1545,11784
Ziro,9955,2305,1363,13623
Mussoorie,9324,11455,1680,22459
Konark,8458,8883,2686,20027
Majuli,1017,11108,1625,13750
Sanchi,5698,6873,2240,14811
Amritsar,1537,3306,2998,7841
Delhi,2424,9512,4577,16513
Hyderabad,1629,6455,4510,12594
Ziro,4613,9988,4390,18991
Munnar,1988,8685,1148,11821
Chittorgarh,4333,2233,827,7393
Nagpur,3015,6739,2530,12284
Cuttack,8433,3051,2487,13971
Amritsar,3217,7489,2180,12886
Kalimpong,2882,9083,1440,13405
Mechuka,5909,7505,2325,15739
Alleppey,9080,8739,1668,19487
Nagpur,4929,10552,1409,16890
Mumbai,2922,10901,2209,16032
Rajasthan,4643,10012,2806,17461
Coorg,1215,4915,1349,7479
Bodh Gaya,7363,8460,1842,17665
Konark,7095,11879,2171,21145
Rajasthan,4133,5870,1301,11304
Tawang,4696,3685,2684,11065
Mawsynram,3729,1916,2450,8095
Munnar,4820,2639,3413,10872
Ajanta,3366,11143,4739,19248
Ellora,1334,7918,3872,13124
Bikaner,9552,10979,3631,24162
Bundi,1006,11475,4374,16855
Sanchi,9406,5184,1726,16316
Mahabalipuram,7445,7152,4080,18677
Majuli,8267,1723,3493,13483
Nalanda,5005,6597,1084,12686
Bhopal,3433,5850,2794,12077
Sikkim,7690,9723,1477,18890
Patna,3025,10100,3884,17009
Gwalior,1968,5649,3365,10982
Bhubaneswar,5037,11249,3741,20027
Mussoorie,5992,10368,507,16867
Mechuka,2945,8519,4795,16259
Aurangabad,7465,6772,3176,17413
Aizawl,8488,10947,2017,21452
Gangtok,2584,3074,4755,10413
Amarkantak,8187,1597,2535,12319
Coorg,4206,11946,3740,19892
Indore,5218,2695,3588,11501
Hampi,5731,4892,4072,14695
Kolkata,8902,3758,4613,17273
Aizawl,8127,10538,2139,20804
Delhi,3082,9504,2334,14920
Khonsa,6737,2493,2904,12134
Ajanta,3934,2890,4365,11189
Lonavala,4422,6957,2965,14344
Munnar,2918,6119,3622,12659
Rajgir,7398,2660,853,10911
Siliguri,5496,6917,2309,14722
Nainital,4061,2780,2404,9245
Haridwar,6351,8863,2448,17662
Chittorgarh,2638,3999,4356,10993
Khandala,1500,8804,2336,12640
Chittorgarh,2083,6825,1418,10326
Shimla,4059,9125,2238,15422
Ziro,3763,7579,3549,14891
Majuli,3733,4688,1860,10281
Varanasi,9766,8822,1026,19614
Mumbai,2638,10878,1088,14604
Ziro,4691,3363,4677,12731
Mawsynram,3001,5369,4529,12899
Pune,8339,9395,2306,20040
Alibag,9648,2566,2815,15029
Aurangabad,7692,10048,970,18710
Leh,6208,5362,2190,13760
Konark,6609,9827,2459,18895
Tuting,8553,3655,3646,15854
Alleppey,1357,2713,4148,8218
Mount Abu,4038,2277,581,6896
Patna,5593,5677,1927,13197
Mussoorie,9299,10070,4116,23485
Dirang,6390,11320,4182,21892
Amarkantak,4747,2714,1944,9405
Rourkela,9212,3540,1398,14150
Guwahati,2619,2553,3048,8220
Rourkela,2149,6232,2018,10399
Solapur,5005,8919,1754,15678
Chennai,7625,10736,1760,20121
Mussoorie,7781,8195,3276,19252
Munnar,5639,10026,2239,17904
Indore,1584,6303,3055,10942
Itanagar,3052,10289,4558,17899
Nagpur,8415,11225,4119,23759
Lonavala,3875,5313,4792,13980
Kolhapur,7758,10717,3524,21999
Nainital,7752,11607,2521,21880
Sikkim,6478,4072,2071,12621
Majuli,2665,9519,3096,15280
Aizawl,7182,10316,2350,19848
Along,1876,1801,2456,6133
Ratnagiri,5164,4848,3087,13099
Chittorgarh,3669,9414,3821,16904
Pune,5875,1805,1012,8692
Majuli,6144,1866,4314,12324
Majuli,6245,1620,2677,10542
Itanagar,3636,9154,3344,16134
Chennai,1263,1804,1258,4325
Kolhapur,9664,7141,1072,17877
Rajgir,7500,5942,3712,17154
Sanchi,5554,2623,1553,9730
Majuli,9379,2432,1478,13289
Jaisalmer,5527,8777,1135,15439
Tuting,5787,2891,4465,13143
Alibag,4851,3194,1050,9095
Gwalior,6910,6540,2621,16071
Alleppey,6222,5152,2380,13754
Imphal,6461,6870,4840,18171
Chennai,5667,8781,4552,19000
Munnar,5141,1714,2699,9554
Guwahati,1965,5962,4663,12590
Kovalam,8585,2034,3099,13718
Pune,2417,10904,3682,17003
Coorg,8460,4136,4933,17529
Chittorgarh,4253,4975,4647,13875
Hyderabad,8316,5519,4647,18482
Shillong,2766,3969,2851,9586
Goa,9067,8283,4711,22061
Kolkata,3605,6666,4144,14415
Bodh Gaya,8096,9305,4170,21571
Puri,6603,4029,4079,14711
Jaisalmer,1574,5564,575,7713
Kalimpong,6508,4595,3302,14405
Bhopal,2387,3102,4828,10317
Kaziranga,6922,10410,1859,19191
Khajuraho,6583,9306,4095,19984
Mussoorie,1171,3995,1847,7013
Udaipur,2510,10694,790,13994
Andaman,1476,10982,1157,13615
Andaman,9231,9229,4406,22866
Hyderabad,5519,6521,3125,15165
Bangalore,7985,2908,1307,12200
Andaman,8298,6911,1523,16732
Sanchi,4926,6947,1798,13671
Nainital,9410,6939,4525,20874
Cuttack,5255,8504,2329,16088
Mumbai,7936,5186,1264,14386
Mechuka,6148,8381,715,15244
Delhi,6589,6187,4390,17166
Nashik,1091,4924,2004,8019
Bundi,5302,2084,2994,10380
Kovalam,4285,7292,2073,13650
Pondicherry,2104,3704,4736,10544
Imphal,5823,11524,3619,20966
Indore,3134,2993,3095,9222
Gangtok,6502,2513,3199,12214
Nashik,6986,9107,4395,20488
Rajasthan,4463,3096,645,8204
Pasighat,1865,5996,3183,11044
Jabalpur,7754,10496,894,19144
Tawang,1321,10328,2217,13866
Dirang,3725,1510,4500,9735
Diu,7406,8305,4906,20617
Manali,2181,1756,2022,5959
Jaisalmer,5850,7720,3249,16819
Nagpur,1581,10332,2248,14161
Cherrapunji,2440,1597,2959,6996
Bundi,1676,9285,3073,14034
Alibag,7228,11244,3824,22296
Jaisalmer,6374,5070,1562,13006
Jaisalmer,2501,8172,3939,14612
Cuttack,8651,5674,1086,15411
Cuttack,3867,5175,2237,11279
Guwahati,8492,10719,2576,21787
Nainital,6946,10526,4433,21905
Rourkela,1173,8816,4627,14616
Kalimpong,4164,5359,2888,12411
Kodaikanal,1598,4543,1683,7824
Imphal,4671,3829,3497,11997
Guwahati,4526,2686,4078,11290
Jaipur,3408,6009,4635,14052
Ziro,8588,7659,3577,19824
Khandala,6880,2410,633,9923
Roing,6277,2987,829,10093
Chittorgarh,7714,9791,4620,22125
Bomdila,2161,3285,1852,7298
Sikkim,7737,10786,1387,19910
Cherrapunji,6842,3666,3396,13904
Khonsa,3686,10413,1201,15300
Puri,4892,9994,4093,18979
Ooty,6805,4301,2295,13401
Ooty,8445,11584,2036,22065
Mawsynram,1247,1625,2571,5443
Gwalior,8140,1796,2546,12482
Shimla,1312,6771,4303,12386
Munnar,9840,5042,2068,16950
Ajanta,6609,6347,3269,16225
Konark,7602,8627,1372,17601
Ajanta,4509,5136,4699,14344
Munnar,5423,6249,4174,15846
Alleppey,3132,3161,2383,8676
Kodaikanal,4889,9421,4033,18343
Mussoorie,5773,2157,802,8732
Hampi,3540,11704,775,16019
Mahabalipuram,1486,7186,3927,12599
Konark,2492,3431,3698,9621
Majuli,8170,8091,2500,18761
Orchha,7910,6489,1480,15879
Khonsa,5150,3725,1471,10346
Nashik,6045,2196,4544,12785
Mussoorie,3910,2396,4986,11292
Itanagar,5658,11148,3663,20469
Bodh Gaya,1590,7341,4485,13416
Pune,6459,11168,781,18408
Rourkela,9661,1935,4830,16426
Khonsa,7255,8580,2437,18272
Kolhapur,5087,2762,3581,11430
Dirang,4033,10423,3909,18365
Along,7146,11446,1638,20230
Pasighat,6681,3069,3675,13425
Mount Abu,9047,10904,847,20798
Imphal,1576,11855,2409,15840
Rishikesh,5743,6229,2287,14259
Jorhat,4162,9220,3758,17140
Ajanta,6475,6652,3054,16181
Varanasi,9979,11011,854,21844
Aurangabad,8221,2445,2214,12880
Chittorgarh,3182,8551,4626,16359
Sanchi,2545,5591,4207,12343
Agra,7503,2890,2593,12986
Alibag,7844,11027,1828,20699
Darjeeling,7509,10198,1029,18736
Pune,4736,2947,3613,11296
Kalimpong,5670,9029,2235,16934
Bhubaneswar,9498,11036,2579,23113
Jaipur,7254,10298,592,18144
Alibag,2082,6879,3235,12196
Pasighat,1051,7703,3722,12476
Patna,8631,2677,3643,14951
Goa,8099,4650,1404,14153
Bangalore,5216,4409,4881,14506
Kaziranga,8611,9798,852,19261
Orchha,7344,4015,1069,12428
Imphal,6881,8439,3058,18378
Lakshadweep,3061,5650,1429,10140
Mahabalipuram,3983,2080,2421,8484
Ellora,1793,1982,4894,8669
Chittorgarh,6773,8198,1542,16513
Sanchi,2224,3107,1474,6805
Puri,4652,1515,2285,8452
Itanagar,6195,3527,2849,12571
Agra,1841,11254,4472,17567
Amritsar,7484,4627,869,12980
Bomdila,1111,6139,4522,11772
Mechuka,5297,8008,3823,17128
Haridwar,5361,1854,1396,8611
Rajgir,2097,11077,4771,17945
Hampi,5653,7703,1481,14837
Rourkela,9082,9451,1471,20004
Gangtok,9139,5101,2596,16836
Alleppey,1084,10047,2886,14017
Bhopal,3748,2116,4299,10163
Khandala,8646,4823,4793,18262
Solapur,2283,11971,1753,16007
Kodaikanal,9816,5119,1467,16402
Khajuraho,5853,9314,2283,17450
Kolhapur,2044,3792,3314,9150
Konark,6262,3539,1094,10895
Andaman,5721,2309,4830,12860
Mussoorie,7727,8967,1895,18589
Ziro,6409,11963,1204,19576
Kodaikanal,7993,11900,2195,22088
Shimla,6011,9903,599,16513
Cherrapunji,9668,9571,1605,20844
Jaipur,8989,11548,521,21058
Pasighat,6272,7267,3946,17485
Alibag,5196,3771,2259,11226
Leh,4300,1855,2110,8265
Sanchi,2280,5529,3965,11774
Jaipur,9507,4578,562,14647
Orchha,4254,5074,4862,14190
Bikaner,9226,8178,2768,20172
Khandala,8443,9723,2242,20408
Khandala,3084,9334,4142,16560
Mount Abu,7718,5989,1427,15134
Bhubaneswar,8864,7115,3855,19834
Lonavala,3954,6352,1892,12198
Majuli,8961,9166,1181,19308
Andaman,6512,7210,3337,17059
Amarkantak,4706,11336,2496,18538
Ratnagiri,4172,7130,2689,13991
Haridwar,1926,7281,2103,11310
Mumbai,7250,2342,1074,10666
Nashik,4048,9221,1168,14437
Nainital,6164,1690,4493,12347
Guwahati,1114,2415,1130,4659
Pondicherry,9325,5664,2365,17354
Diu,3272,6173,3708,13153
Lakshadweep,5424,9559,2673,17656
Rajgir,5367,2015,1004,8386
Kovalam,5819,6984,4944,17747
Coorg,9842,5928,2220,17990
Nagpur,9876,10159,4438,24473
Mussoorie,6000,2815,3064,11879
Itanagar,8003,8393,671,17067
Mount Abu,8580,8231,3996,20807
Ziro,7099,9243,1566,17908
Siliguri,5900,6515,2604,15019
Kolhapur,7565,10743,1594,19902
Mechuka,8752,11973,1825,22550
Puri,2421,10859,3717,16997
Ajanta,3300,9464,2420,15184
Siliguri,1372,6604,2328,10304
Tawang,6218,3291,3705,13214
Khandala,4200,3184,1875,9259
Ajanta,6760,3936,4686,15382
Hampi,7968,7960,4361,20289
Chittorgarh,6402,11629,4749,22780
Puri,9673,5589,4534,19796
Ziro,7248,4708,717,12673
Patna,5245,5402,1148,11795
Aizawl,9507,8863,4017,22387
Diu,5665,7677,4555,17897
Khonsa,2173,6878,3285,12336
Pune,9867,9824,3944,23635
Shirdi,2071,6167,2554,10792
Hyderabad,7545,7084,1022,15651
Konark,3091,7792,3540,14423
Bhubaneswar,9493,10752,2349,22594
Pondicherry,1512,3271,1386,6169
Amarkantak,8761,11646,2573,22980
Alibag,6751,1776,3657,12184
Dirang,2486,6465,1623,10574
Kodaikanal,2529,5293,3728,11550
Bhubaneswar,9927,8831,4689,23447
Nashik,7847,3626,735,12208
Rishikesh,3419,3323,4209,10951
Delhi,9584,3807,2954,16345
Indore,5383,4282,3371,13036
Kalimpong,5814,11476,4766,22056
Coorg,4669,6128,998,11795
Nashik,8240,5960,3071,17271
Kaziranga,9457,10882,4864,25203
Kaziranga,1018,6816,2939,10773
Bangalore,3504,8057,3275,14836
Bundi,5623,6534,4623,16780
Rourkela,7315,2366,1635,11316
Bodh Gaya,4628,2150,1213,7991
Haridwar,8981,9407,1783,20171
Sanchi,5511,6939,1682,14132
Pelling,8847,1503,3538,13888
Tezpur,8126,11605,2757,22488
Khonsa,2921,2523,3004,8448
Alibag,6182,10436,3708,20326
Ranthambore,9102,2382,2092,13576
Jabalpur,3648,9520,3462,16630
Nagpur,1780,2867,3513,8160
Coorg,9032,4993,3728,17753
Siliguri,6975,9309,1781,18065
Ziro,1358,5261,3005,9624
Lonavala,3043,7693,2623,13359
Pelling,5878,10949,1963,18790
Sanchi,2670,8915,3780,15365
Delhi,9836,4617,3542,17995
Bodh Gaya,8183,2465,4431,15079
Manali,2690,8837,4921,16448
Pondicherry,4051,10484,2823,17358
Puri,8478,2471,784,11733
Kanyakumari,1473,8330,3894,13697
Kanyakumari,1364,11618,2692,15674
Jabalpur,5429,11621,4467,21517
Tawang,1040,2982,3356,7378
Leh,2940,6633,3666,13239
Mawsynram,6245,9319,3885,19449
Darjeeling,5230,10541,5000,20771
Manali,5272,5489,538,11299
Amritsar,1584,11584,2058,15226
Jabalpur,9915,4301,4984,19200
Delhi,8401,9885,4727,23013
Zemithang,5355,4353,2531,12239
Munnar,4172,3383,2279,9834
Cuttack,1507,10356,1656,13519
Kalimpong,5042,1855,4684,11581
Along,1150,11444,4058,16652
Kolkata,1519,3582,1912,7013
Bhubaneswar,7587,2917,3881,14385
Khonsa,1768,10665,4955,17388
Delhi,6835,8142,2310,17287
Lonavala,4402,6520,867,11789
Sanchi,2637,6129,4194,12960
Munnar,6876,6693,1237,14806
Orchha,4690,8939,4299,17928
Coorg,1455,7690,3215,12360
Mahabalipuram,6021,3411,1168,10600
Shirdi,4562,7905,2570,15037
Daman,2240,10870,994,14104
Gangtok,3867,8641,4110,16618
Leh,7783,2773,858,11414
Ziro,9740,10281,4322,24343
Kovalam,5484,11165,4451,21100
Konark,4457,3526,3601,11584
Delhi,9690,11945,3530,25165
Daman,4471,6293,1553,12317
Rajgir,6791,9373,552,16716
Aurangabad,9548,7241,3022,19811
Itanagar,3261,4019,3730,11010
Khandala,6497,1508,4919,12924
Udaipur,9487,6784,888,17159
Daman,4171,11906,1466,17543
Mechuka,9204,9594,2329,21127
Guwahati,4221,3042,4940,12203
Mechuka,1954,3951,2480,8385
Agra,4017,6142,2034,12193
Shillong,8150,6399,1409,15958
Itanagar,8212,11649,842,20703
Rishikesh,8895,10965,3318,23178
Ratnagiri,5211,1655,4899,11765
Dirang,9507,8232,3087,20826
Pelling,3882,9364,4910,18156
Goa,5809,8135,2878,16822
Roing,8097,1557,3008,12662
Pondicherry,9106,10749,3917,23772
Mechuka,8801,2973,2778,14552
Konark,4495,3142,2803,10440
Chittorgarh,6363,10061,4154,20578
Hampi,8879,2567,2413,13859
Ratnagiri,1578,9160,3889,14627
Guwahati,6661,2823,4586,14070
Aurangabad,5582,5375,3288,14245
Chennai,7086,7893,2067,17046
Munnar,1486,2843,3304,7633
Rourkela,9210,10855,3272,23337
Mount Abu,6296,11283,3671,21250
Imphal,3417,2094,1920,7431
Guwahati,1048,7613,2278,10939
Indore,6902,9292,3713,19907
Gangtok,5405,9311,1973,16689
Ooty,3200,4365,2747,10312
Kalimpong,4218,5392,4358,13968
Lakshadweep,5817,7299,1946,15062
Bhopal,2784,11959,2922,17665
Rourkela,7332,7324,2543,17199
Chittorgarh,1251,11232,3191,15674
Tuting,1233,7619,4039,12891
Hyderabad,1400,10965,3274,15639
Kanyakumari,6804,9108,787,16699
Sikkim,6687,8129,4556,19372
Pondicherry,7924,4288,3693,15905
Shillong,2601,8319,954,11874
Ziro,9669,10013,4469,24151
Tuting,4719,7477,4802,16998
Nalanda,4210,5131,2093,11434
Diu,2018,7528,3108,12654
Aizawl,7071,6505,4115,17691
Hampi,2905,11369,4607,18881
Agra,1198,11133,2333,14664
Roing,7312,5384,695,13391
Orchha,1182,6995,3857,12034
Bomdila,9719,2350,4444,16513
Majuli,1752,5372,2288,9412
Shillong,1914,11074,2843,15831
Roing,6853,4653,1449,12955
Kodaikanal,4145,3002,742,7889
Kanyakumari,5151,6572,2596,14319
Amarkantak,5062,3407,3261,11730
Nalanda,9026,5864,4005,18895
Ratnagiri,6086,1966,3982,12034
Munnar,9373,6262,1519,17154
Mawsynram,7063,9989,3884,20936
Tuting,8554,4387,941,13882
Dirang,4339,4965,3665,12969
Delhi,5348,10811,3357,19516
Delhi,3155,10830,4237,18222
Chitrakoot,2821,4820,676,8317
Kaziranga,8875,9647,1979,20501
Gwalior,9626,2926,915,13467
Nagpur,7961,11221,855,20037
Chittorgarh,8059,11803,2073,21935
Siliguri,3386,8713,2136,14235
Pune,5404,8789,3965,18158
Mumbai,1014,4370,3865,9249
Kaziranga,2409,3249,3736,9394
Goa,1043,5523,2323,8889
Gangtok,3698,5658,3237,12593
Alibag,3014,9773,2730,15517
Kolkata,3823,7240,1434,12497
Leh,3577,10404,2847,16828
Siliguri,9986,5486,1372,16844
Bangalore,8892,9099,2583,20574
Munnar,3042,2405,4619,10066
Bhopal,7821,4761,2922,15504
Solapur,3323,11088,3174,17585
Solapur,7442,7690,2076,17208
Puri,3204,5270,4125,12599
Nalanda,6917,2821,947,10685
Majuli,2733,10618,4574,17925
Mussoorie,9261,3967,4442,17670
Ooty,1555,6113,2148,9816
Manali,8367,6739,3933,19039
Mumbai,1011,10481,3854,15346
Imphal,3346,4337,3488,11171
Dirang,4576,6591,2135,13302
Mussoorie,9376,6884,3243,19503
Mumbai,6871,7950,4640,19461
Mussoorie,4447,5041,1729,11217
Kanyakumari,1917,10551,2730,15198
Aurangabad,2615,5766,682,9063
Siliguri,4354,7033,922,12309
Jorhat,5428,11706,1932,19066
Lonavala,7106,1653,4347,13106
Pune,6495,7323,2021,15839
Pondicherry,2285,9765,4205,16255
Andaman,7538,1746,1744,11028
Sikkim,9796,9762,4490,24048
Ooty,7916,10891,3760,22567
Udaipur,4109,7671,517,12297
Bundi,8169,4559,4416,17144
Chittorgarh,4508,2033,4037,10578
Munnar,6820,5830,993,13643
Guwahati,7581,11718,3823,23122
Nainital,3045,10210,1398,14653
Bodh Gaya,7028,9514,1689,18231
Bodh Gaya,1605,8091,1619,11315
Varanasi,8205,2111,1698,12014
Kalimpong,6401,9296,4059,19756
Mahabalipuram,6858,3755,3221,13834
Aizawl,6251,3374,1597,11222
Pondicherry,8214,2159,813,11186
Jabalpur,8998,2993,2126,14117
Darjeeling,4583,10094,3994,18671
Kanyakumari,9834,4832,3327,17993
Ratnagiri,9971,11097,3685,24753
Kovalam,9343,1783,1255,12381
Itanagar,1756,8115,3936,13807
Bodh Gaya,7647,7169,3924,18740
Leh,7214,4236,778,12228
Hampi,7951,10389,4077,22417
Hampi,8713,11781,3045,23539
Bundi,4266,10704,2131,17101
Kanyakumari,8356,6161,1674,16191
Mawsynram,9098,2424,2810,14332
