Sr No.,State,Sightseeing Place,Hotel Name,Budget,Check-in Date,Check-out Date,Ratings
123,Arunachal Pradesh,Ziro Valley,Heritage Hotel ARU,6370,2025-05-18,2025-05-22,3.6
124,Arunachal Pradesh,Ziro Valley,Heritage Hotel ARU,9256,2026-01-17,2026-01-20,3.7
125,Arunachal Pradesh,Ziro Valley,Grand Palace ARU,2963,2025-07-09,2025-07-16,4.2
126,Arunachal Pradesh,Ziro Valley,Grand Palace ARU,7020,2026-03-20,2026-03-21,3.8
127,Arunachal Pradesh,Ziro Valley,Royal Inn ARU,4131,2025-08-11,2025-08-17,4.9
128,Arunachal Pradesh,Ziro Valley,Royal Inn ARU,2914,2025-11-17,2025-11-22,4.3
129,Arunachal Pradesh,Ziro Valley,Royal Inn ARU,8489,2025-06-01,2025-06-07,5.0
130,Arunachal Pradesh,Ziro Valley,Elite Residency ARU,9569,2025-04-15,2025-04-18,3.5
131,Arunachal Pradesh,Ziro Valley,Heritage Hotel ARU,1955,2025-11-27,2025-12-01,4.4
132,Arunachal Pradesh,Ziro Valley,Elite Residency ARU,2879,2026-02-17,2026-02-23,3.8
133,Arunachal Pradesh,Ziro Valley,Royal Inn ARU,8876,2026-02-27,2026-03-06,4.4
134,Arunachal Pradesh,Ziro Valley,Royal Inn ARU,7780,2025-08-24,2025-08-31,4.1
135,Arunachal Pradesh,Ziro Valley,Royal Inn ARU,3789,2025-04-25,2025-04-29,3.2
136,Arunachal Pradesh,Ziro Valley,Grand Palace ARU,9784,2025-12-06,2025-12-11,3.7
137,Arunachal Pradesh,Ziro Valley,Royal Inn ARU,3727,2025-10-19,2025-10-21,3.3
138,Arunachal Pradesh,Ziro Valley,Heritage Hotel ARU,1955,2025-07-02,2025-07-07,4.4
139,Arunachal Pradesh,Ziro Valley,Elite Residency ARU,7259,2025-06-07,2025-06-10,4.8
140,Arunachal Pradesh,Ziro Valley,Heritage Hotel ARU,6115,2026-03-09,2026-03-13,4.2
141,Arunachal Pradesh,Ziro Valley,Heritage Hotel ARU,7807,2026-03-07,2026-03-12,4.7
142,Arunachal Pradesh,Ziro Valley,Grand Palace ARU,5993,2025-05-17,2025-05-21,4.2
143,Arunachal Pradesh,Ziro Valley,Luxury Stay ARU,9882,2025-07-26,2025-08-02,4.3
144,Arunachal Pradesh,Ziro Valley,Royal Inn ARU,4501,2025-08-25,2025-08-30,3.1
145,Arunachal Pradesh,Ziro Valley,Luxury Stay ARU,4331,2025-06-18,2025-06-22,3.9
146,Arunachal Pradesh,Ziro Valley,Luxury Stay ARU,2315,2025-12-20,2025-12-27,4.3
147,Arunachal Pradesh,Ziro Valley,Elite Residency ARU,6466,2026-03-29,2026-04-05,3.5
148,Arunachal Pradesh,Ziro Valley,Royal Inn ARU,9957,2025-07-19,2025-07-23,3.3
149,Arunachal Pradesh,Ziro Valley,Royal Inn ARU,5825,2025-04-09,2025-04-16,4.1
150,Arunachal Pradesh,Ziro Valley,Grand Palace ARU,1065,2025-07-01,2025-07-05,3.3
151,Arunachal Pradesh,Ziro Valley,Royal Inn ARU,6795,2026-03-14,2026-03-17,4.7
152,Arunachal Pradesh,Ziro Valley,Heritage Hotel ARU,3956,2025-11-01,2025-11-02,3.3
153,Arunachal Pradesh,Ziro Valley,Luxury Stay ARU,9411,2026-01-28,2026-02-04,3.1
154,Arunachal Pradesh,Ziro Valley,Heritage Hotel ARU,9133,2025-11-04,2025-11-07,5.0
155,Arunachal Pradesh,Ziro Valley,Luxury Stay ARU,3124,2025-05-14,2025-05-16,3.8
156,Arunachal Pradesh,Ziro Valley,Grand Palace ARU,8894,2025-06-18,2025-06-21,4.1
157,Arunachal Pradesh,Ziro Valley,Luxury Stay ARU,1652,2025-08-07,2025-08-12,4.6
158,Arunachal Pradesh,Ziro Valley,Elite Residency ARU,7821,2026-02-28,2026-03-02,3.3
159,Arunachal Pradesh,Ziro Valley,Luxury Stay ARU,2831,2025-05-04,2025-05-11,4.7
160,Arunachal Pradesh,Ziro Valley,Heritage Hotel ARU,7579,2025-04-06,2025-04-11,3.7
161,Assam,Kaziranga National Park,Heritage Hotel ASS,5454,2026-03-15,2026-03-20,4.6
162,Assam,Kaziranga National Park,Elite Residency ASS,7382,2025-05-26,2025-05-29,4.0
163,Assam,Kaziranga National Park,Luxury Stay ASS,4081,2026-02-28,2026-03-07,3.9
164,Assam,Kaziranga National Park,Grand Palace ASS,4974,2025-04-21,2025-04-24,4.7
165,Assam,Kaziranga National Park,Royal Inn ASS,8273,2025-07-15,2025-07-19,4.0
166,Assam,Kaziranga National Park,Royal Inn ASS,1146,2026-01-30,2026-02-03,4.6
167,Assam,Kaziranga National Park,Elite Residency ASS,1075,2025-08-23,2025-08-24,4.6
168,Assam,Kaziranga National Park,Royal Inn ASS,9804,2026-01-25,2026-01-30,4.8
169,Assam,Kaziranga National Park,Luxury Stay ASS,8511,2025-06-07,2025-06-12,3.2
170,Assam,Kaziranga National Park,Royal Inn ASS,6370,2025-10-09,2025-10-13,3.5
171,Assam,Kaziranga National Park,Heritage Hotel ASS,9214,2026-03-14,2026-03-17,3.4
172,Assam,Kaziranga National Park,Grand Palace ASS,7956,2025-04-28,2025-04-29,4.6
173,Assam,Kaziranga National Park,Heritage Hotel ASS,2236,2025-07-19,2025-07-25,5.0
174,Assam,Kaziranga National Park,Grand Palace ASS,4419,2025-12-30,2026-01-06,4.5
175,Assam,Kaziranga National Park,Heritage Hotel ASS,8660,2025-08-06,2025-08-10,4.0
176,Assam,Kaziranga National Park,Royal Inn ASS,7452,2025-06-18,2025-06-25,3.4
177,Assam,Kaziranga National Park,Royal Inn ASS,7130,2026-01-15,2026-01-22,4.9
178,Assam,Kaziranga National Park,Luxury Stay ASS,9633,2026-02-07,2026-02-09,3.7
179,Assam,Kaziranga National Park,Elite Residency ASS,7668,2025-04-06,2025-04-13,3.3
180,Assam,Kaziranga National Park,Grand Palace ASS,2240,2025-09-30,2025-10-01,3.6
181,Assam,Kaziranga National Park,Elite Residency ASS,5553,2025-11-17,2025-11-20,3.5
182,Assam,Kaziranga National Park,Grand Palace ASS,1121,2026-01-09,2026-01-15,3.9
183,Assam,Kaziranga National Park,Elite Residency ASS,5874,2026-02-27,2026-03-04,4.6
184,Assam,Kaziranga National Park,Grand Palace ASS,6347,2025-04-20,2025-04-21,4.8
185,Assam,Kaziranga National Park,Luxury Stay ASS,9485,2025-10-14,2025-10-18,4.9
186,Assam,Kaziranga National Park,Royal Inn ASS,3230,2025-05-04,2025-05-07,4.3
187,Assam,Kaziranga National Park,Heritage Hotel ASS,7897,2025-06-14,2025-06-20,3.3
188,Assam,Kaziranga National Park,Heritage Hotel ASS,8732,2025-07-18,2025-07-20,3.1
189,Assam,Kaziranga National Park,Elite Residency ASS,2920,2025-12-08,2025-12-09,3.7
190,Assam,Kaziranga National Park,Grand Palace ASS,8896,2025-10-16,2025-10-19,4.7
191,Assam,Kaziranga National Park,Royal Inn ASS,2738,2025-11-26,2025-12-01,4.3
192,Assam,Kaziranga National Park,Elite Residency ASS,7265,2025-05-20,2025-05-22,4.8
193,Assam,Kaziranga National Park,Elite Residency ASS,7105,2025-11-12,2025-11-18,4.2
194,Assam,Kaziranga National Park,Heritage Hotel ASS,4035,2026-01-29,2026-02-02,3.1
195,Assam,Kaziranga National Park,Royal Inn ASS,9118,2025-10-29,2025-11-01,3.3
196,Assam,Kaziranga National Park,Grand Palace ASS,4373,2025-12-10,2025-12-12,3.8
197,Assam,Kaziranga National Park,Luxury Stay ASS,7313,2025-06-24,2025-06-29,4.5
198,Assam,Kaziranga National Park,Luxury Stay ASS,1966,2025-04-30,2025-05-07,3.2
199,Assam,Kaziranga National Park,Royal Inn ASS,3859,2025-08-25,2025-08-31,5.0
200,Assam,Kaziranga National Park,Royal Inn ASS,1385,2025-11-19,2025-11-21,3.6
201,Assam,Kamakhya Temple,Royal Inn ASS,8226,2025-09-14,2025-09-19,5.0
202,Assam,Kamakhya Temple,Royal Inn ASS,7361,2025-05-12,2025-05-19,3.0
203,Assam,Kamakhya Temple,Royal Inn ASS,9925,2026-01-24,2026-01-31,4.9
204,Assam,Kamakhya Temple,Grand Palace ASS,2559,2026-01-05,2026-01-08,3.3
205,Assam,Kamakhya Temple,Elite Residency ASS,5120,2025-03-30,2025-04-05,4.3
206,Assam,Kamakhya Temple,Grand Palace ASS,1607,2025-08-30,2025-09-03,4.7
207,Assam,Kamakhya Temple,Luxury Stay ASS,3779,2025-12-29,2025-12-31,3.9
208,Assam,Kamakhya Temple,Heritage Hotel ASS,5205,2025-06-23,2025-06-24,4.3
209,Assam,Kamakhya Temple,Heritage Hotel ASS,7897,2025-09-23,2025-09-28,4.0
210,Assam,Kamakhya Temple,Grand Palace ASS,4302,2025-11-08,2025-11-10,3.6
211,Assam,Kamakhya Temple,Royal Inn ASS,4650,2026-02-15,2026-02-17,3.3
212,Assam,Kamakhya Temple,Elite Residency ASS,7374,2026-02-08,2026-02-13,4.0
213,Assam,Kamakhya Temple,Luxury Stay ASS,6679,2025-12-10,2025-12-14,4.9
214,Assam,Kamakhya Temple,Elite Residency ASS,5199,2025-08-08,2025-08-13,3.4
215,Assam,Kamakhya Temple,Luxury Stay ASS,8277,2025-08-12,2025-08-17,3.9
216,Assam,Kamakhya Temple,Luxury Stay ASS,7988,2025-04-05,2025-04-12,3.5
217,Assam,Kamakhya Temple,Royal Inn ASS,1574,2025-09-14,2025-09-19,3.5
218,Assam,Kamakhya Temple,Luxury Stay ASS,3230,2025-04-19,2025-04-26,3.3
219,Assam,Kamakhya Temple,Grand Palace ASS,6654,2026-02-24,2026-02-25,4.1
220,Assam,Kamakhya Temple,Elite Residency ASS,5764,2025-06-13,2025-06-15,3.5
221,Assam,Kamakhya Temple,Grand Palace ASS,4515,2026-01-09,2026-01-14,4.2
222,Assam,Kamakhya Temple,Elite Residency ASS,5391,2026-01-10,2026-01-13,4.1
223,Assam,Kamakhya Temple,Heritage Hotel ASS,8056,2026-02-25,2026-03-03,4.6
224,Assam,Kamakhya Temple,Luxury Stay ASS,7487,2025-09-26,2025-09-30,4.6
225,Assam,Kamakhya Temple,Elite Residency ASS,3864,2025-07-19,2025-07-22,4.8
226,Assam,Kamakhya Temple,Luxury Stay ASS,4246,2026-01-26,2026-01-28,3.0
227,Assam,Kamakhya Temple,Grand Palace ASS,1622,2025-12-21,2025-12-27,4.5
228,Assam,Kamakhya Temple,Grand Palace ASS,7261,2025-08-26,2025-09-02,3.2
229,Assam,Kamakhya Temple,Royal Inn ASS,5156,2025-09-11,2025-09-17,4.3
230,Assam,Kamakhya Temple,Royal Inn ASS,6821,2025-04-07,2025-04-14,3.8
231,Assam,Kamakhya Temple,Elite Residency ASS,9617,2026-02-24,2026-02-25,3.5
232,Assam,Kamakhya Temple,Grand Palace ASS,5823,2025-07-23,2025-07-25,4.4
233,Assam,Kamakhya Temple,Royal Inn ASS,5656,2025-08-10,2025-08-14,4.3
234,Assam,Kamakhya Temple,Luxury Stay ASS,2691,2025-09-19,2025-09-23,3.2
235,Assam,Kamakhya Temple,Heritage Hotel ASS,1122,2025-11-18,2025-11-20,5.0
236,Assam,Kamakhya Temple,Royal Inn ASS,8533,2026-03-04,2026-03-05,4.3
237,Assam,Kamakhya Temple,Royal Inn ASS,2603,2026-02-18,2026-02-20,3.5
238,Assam,Kamakhya Temple,Luxury Stay ASS,7497,2026-01-28,2026-01-31,4.6
239,Assam,Kamakhya Temple,Royal Inn ASS,8203,2025-11-01,2025-11-07,3.8
240,Assam,Kamakhya Temple,Royal Inn ASS,4332,2025-11-16,2025-11-17,3.7
241,Bihar,Mahabodhi Temple,Heritage Hotel BIH,4842,2025-05-10,2025-05-15,4.1
242,Bihar,Mahabodhi Temple,Elite Residency BIH,2577,2025-09-01,2025-09-07,4.1
243,Bihar,Mahabodhi Temple,Heritage Hotel BIH,1801,2025-05-01,2025-05-03,3.3
244,Bihar,Mahabodhi Temple,Heritage Hotel BIH,1787,2025-12-06,2025-12-13,3.4
245,Bihar,Mahabodhi Temple,Royal Inn BIH,6393,2025-11-26,2025-11-30,3.6
246,Bihar,Mahabodhi Temple,Heritage Hotel BIH,5647,2025-12-29,2026-01-02,3.1
247,Bihar,Mahabodhi Temple,Luxury Stay BIH,3344,2025-06-27,2025-07-04,4.6
248,Bihar,Mahabodhi Temple,Luxury Stay BIH,1258,2026-02-28,2026-03-07,3.1
249,Bihar,Mahabodhi Temple,Heritage Hotel BIH,2940,2025-07-21,2025-07-26,3.9
250,Bihar,Mahabodhi Temple,Heritage Hotel BIH,7163,2025-11-14,2025-11-19,3.3
251,Bihar,Mahabodhi Temple,Royal Inn BIH,4023,2025-10-24,2025-10-26,3.8
252,Bihar,Mahabodhi Temple,Luxury Stay BIH,9376,2025-08-29,2025-08-30,3.3
253,Bihar,Mahabodhi Temple,Heritage Hotel BIH,6890,2025-10-06,2025-10-08,4.3
254,Bihar,Mahabodhi Temple,Heritage Hotel BIH,4799,2025-09-17,2025-09-24,4.1
255,Bihar,Mahabodhi Temple,Grand Palace BIH,9038,2025-12-18,2025-12-23,3.4
256,Bihar,Mahabodhi Temple,Royal Inn BIH,9884,2025-05-17,2025-05-23,3.7
257,Bihar,Mahabodhi Temple,Royal Inn BIH,1387,2026-03-18,2026-03-24,3.9
258,Bihar,Mahabodhi Temple,Luxury Stay BIH,7990,2025-12-07,2025-12-14,3.8
259,Bihar,Mahabodhi Temple,Heritage Hotel BIH,7339,2025-06-22,2025-06-24,5.0
260,Bihar,Mahabodhi Temple,Grand Palace BIH,1857,2025-10-27,2025-10-30,3.1
261,Bihar,Mahabodhi Temple,Luxury Stay BIH,2553,2025-07-14,2025-07-18,3.7
262,Bihar,Mahabodhi Temple,Grand Palace BIH,9658,2026-02-15,2026-02-19,3.1
263,Bihar,Mahabodhi Temple,Royal Inn BIH,5573,2025-06-24,2025-06-28,4.7
264,Bihar,Mahabodhi Temple,Grand Palace BIH,3676,2026-01-10,2026-01-16,4.1
265,Bihar,Mahabodhi Temple,Heritage Hotel BIH,6567,2025-08-17,2025-08-24,3.8
266,Bihar,Mahabodhi Temple,Elite Residency BIH,5899,2026-02-28,2026-03-05,3.4
267,Bihar,Mahabodhi Temple,Luxury Stay BIH,4889,2025-07-19,2025-07-24,4.7
268,Bihar,Mahabodhi Temple,Royal Inn BIH,4969,2025-04-18,2025-04-20,3.2
269,Bihar,Mahabodhi Temple,Heritage Hotel BIH,9081,2025-08-20,2025-08-22,4.7
270,Bihar,Mahabodhi Temple,Elite Residency BIH,6725,2025-04-05,2025-04-10,4.8
271,Bihar,Mahabodhi Temple,Luxury Stay BIH,8834,2026-01-10,2026-01-15,4.4
272,Bihar,Mahabodhi Temple,Luxury Stay BIH,8568,2026-03-05,2026-03-12,3.9
273,Bihar,Mahabodhi Temple,Elite Residency BIH,2932,2025-11-18,2025-11-21,4.3
274,Bihar,Mahabodhi Temple,Elite Residency BIH,2841,2025-12-03,2025-12-10,4.8
275,Bihar,Mahabodhi Temple,Luxury Stay BIH,9468,2025-05-12,2025-05-19,4.6
276,Bihar,Mahabodhi Temple,Royal Inn BIH,6566,2026-02-05,2026-02-07,4.2
277,Bihar,Mahabodhi Temple,Grand Palace BIH,5342,2025-04-30,2025-05-03,4.7
